year	full_name	fore_name	last_name	conference	source	affiliations	afflcountries
2012	Barbara Wold	Barbara	Wold	ISMB		Caltech	United States
2012	Richard Durbin	Richard	Durbin	ISMB		Wellcome Trust Sanger Institute	United Kingdom
2012	Andrej Sali	Andrej	Sali	ISMB		University of California San Francisco	United States
2012	Gunnar von Heijne	Gunnar	Heijne	ISMB		Stockholm University	Sweden
2013	Goncalo Abecasis	Goncalo	Abecasis	ISMB		University of Michigan	United States
2013	Gil Ast	Gil	Ast	ISMB		Tel Aviv University	Israel
2013	David Eisenberg	David	Eisenberg	ISMB		UCLA	United States
2013	Carole Goble	Carole	Goble	ISMB		University of Manchester	United Kingdom
2013	Lior Pachter	Lior	Pachter	ISMB		UC Berkeley	United States
2013	Gary Stormo	Gary	Stormo	ISMB		Washington University	United States
2014	Michal Linial	Michal	Linial	ISMB		Hebrew University Jerusalem	Israel
2014	Eugene W Myers	Eugene	Myers	ISMB		MPI-Dresden	Germany
2014	Isaac (Zak) Kohane	Isaac	Kohane	ISMB	https://www.iscb.org/ismb2014-program/ismb2014-keynotes/isaac-kohane	Harvard University	United States
2014	Dana Pe'er	Dana	Pe'er	ISMB		Columbia University	United States
2014	Robert Langer	Robert	Langer	ISMB		MIT	United States
2014	Russ Altman	Russ	Altman	ISMB		Stanford University	United States
2015	Michael Levitt	Michael	Levitt	ISMB		Stanford University	United States
2015	Curtis Huttenhower	Curtis	Huttenhower	ISMB		Harvard University	United States
2015	Eileen Furlong	Eileen	Furlong	ISMB		EMBL-Heidelberg	Germany
2015	Kenneth Wolfe	Kenneth	Wolfe	ISMB		University College Dublin	Ireland
2015	Cyrus Chothia	Cyrus	Chothia	ISMB		MRC Laboratory for Molecular Biology	United Kingdom
2015	Amos Bairoch	Amos	Bairoch	ISMB		Swiss Institute of Bioinformatics	Switzerland
2016	Ruth Nussinov	Ruth	Nussinov	ISMB		National Cancer Institute|Tel Aviv University	United States|Israel
2016	Debora Marks	Debora	Marks	ISMB		Harvard University	United States
2016	Sandrine Dudoit	Sandrine	Dudoit	ISMB		University of California Berkeley	United States
2016	Sarah Teichmann	Sarah	Teichmann	ISMB		EMBL-EBI	United Kingdom
2016	Serafim Batzoglou	Serafim	Batzoglou	ISMB		Stanford University	United States
2016	Soren Brunak	Soren	Brunak	ISMB		Novo Nordisk Foundation	Denmark
2017	Aviv Regev	Aviv	Regev	ISMB		Broad Institute	United States
2017	James Sharpe	James	Sharpe	ISMB		EMBL-CRG	Spain
2017	Christoph Bock	Christoph	Bock	ISMB		Austrian Academy of Sciences	Austria
2017	Zhiping Weng	Zhiping	Weng	ISMB		UMass Med School	United States
2017	Pavel Pevzner	Pavel	Pevzner	ISMB		UCSD	United States
2018	Steven Salzberg	Steven	Salzberg	ISMB		Johns Hopkins University	United States
2018	Cole Trapnell	Cole	Trapnell	ISMB		University of Washington	United States
